category,title,source_html,screencap_png,source_html_bytes,png_bytes
Scale / Mass,Static Call Graph - [miniscale\miniscale.axf],miniscale.htm,miniscale.png,53436,349650
Other,MMM Pastel Dashboard Clone,MMM_pastel_dashboard_clone.html,MMM_pastel_dashboard_clone.png,13357,630379
Robot / Motion / LiDAR,MotionCart Lab Dashboard — M5StickC Plus2 / StickS3,MotionCart_Dashboard.html,MotionCart_Dashboard.png,32821,264626
Other,Nugget Bridge Dashboard,nugget_bridge_dashboard.html,nugget_bridge_dashboard.png,36981,389762
Thermal / Energy,Orbit-Style Thermostat Emulator,orbit_style_thermostat_dashboard.html,orbit_style_thermostat_dashboard.png,30470,340182
Pendulum,Seconds Pendulum — Nano VL53L1X Web Serial Dashboard,pendulum_webserial_dashboard.html,pendulum_webserial_dashboard.png,15592,242583
Nugget / Embedded,PIC16F18424 ICSP Web Serial Programmer,pic16f18424-web-serial.html,pic16f18424-web-serial.png,34658,95443
Pico / Frequency Meter,Pico W BLE UART Console,pico_w_ble_uart_console_r1.html,pico_w_ble_uart_console_r1.png,17175,117298
Pico / Frequency Meter,Pico W BLE UART Console,pico_w_ble_uart_console_singlefile_r1_1.html,pico_w_ble_uart_console_singlefile_r1_1.png,17787,139207
Nugget / Embedded,REDBoard One-Bit Reflex Dashboard,redboard_one_bit_reflex_dashboard.html,redboard_one_bit_reflex_dashboard.png,26421,379512
Nugget / Embedded,REDBoard One-Bit Reflex Dashboard — Tabbed,redboard_one_bit_reflex_dashboard_tabbed.html,redboard_one_bit_reflex_dashboard_tabbed.png,29805,321678
Robot / Motion / LiDAR,Robot8051 ESP32-C3 BLE Dashboard,robot8051_ble_dashboard.html,robot8051_ble_dashboard.png,14575,243941
Pendulum,Seconds Pendulum WebBLE Dashboard,seconds_pendulum_webble_dashboard.html,seconds_pendulum_webble_dashboard.png,49920,380938
Pendulum,Seconds Pendulum WebBLE Dashboard — Tabbed Layout,seconds_pendulum_webble_dashboard_tabbed.html,seconds_pendulum_webble_dashboard_tabbed.png,51726,364963
Pendulum,Seconds Pendulum WebBLE Dashboard — Tabbed Layout v4,seconds_pendulum_webble_dashboard_tabbed_v4.html,seconds_pendulum_webble_dashboard_tabbed_v4.png,62216,355748
Other,Slide Rule Scientific Workstation v7,slide_rule_scientific_workstation_v7_math_visible.html,slide_rule_scientific_workstation_v7_math_visible.png,125918,186801
Tea Time / Beer–Lambert,TeaTime Beer–Lambert Lab Dashboard — Randall Young / UMA-GSA,teatime_beer_lambert_dashboard.html,teatime_beer_lambert_dashboard.png,60335,399946
Tea Time / Beer–Lambert,TeaTime Beer–Lambert Lab Dashboard — Randall Young / UMA-GSA,teatime_beer_lambert_modeling_dashboard.html,teatime_beer_lambert_modeling_dashboard.png,81022,407409
Tea Time / Beer–Lambert,TeaTime Modern Lab Dashboard,teatime_modern_dashboard.html,teatime_modern_dashboard.png,25407,447152
Nugget / Embedded,ATtiny817 Xplained Mini GSA Serial Dashboard,tiny817_gsa_serial_dashboard.html,tiny817_gsa_serial_dashboard.png,16152,218212
Nugget / Embedded,ATtiny817 Xplained Mini GSA Serial Dashboard,tiny817_gsa_serial_dashboard_v2_dtr.html,tiny817_gsa_serial_dashboard_v2_dtr.png,16720,221648
DSKY / Mission Console,UMA-DSKY Dashboard — ISL v1.0 Prototype,uma_dsky_dashboard.html,uma_dsky_dashboard.png,34982,665920
DSKY / Mission Console,UMA-DSKY Dashboard — Apollo Analog Elegant Edition,uma_dsky_dashboard_apollo_elegant.html,uma_dsky_dashboard_apollo_elegant.png,47989,760434
DSKY / Mission Console,UMA-DSKY Dashboard — ISL v1.0,uma_dsky_dashboard_v2.html,uma_dsky_dashboard_v2.png,69024,762367
DSKY / Mission Console,UMA-DSKY Mission Console — ISL v1.0 RC1,uma_dsky_mission_console_rc1.html,uma_dsky_mission_console_rc1.png,54751,579661
Scale / Mass,UMA eScale Minimal Web Serial LCD - R1 v0.1.0,UMA_eScale_Minimal_WebSerial_LCD_R1_v0_1_0.html,UMA_eScale_Minimal_WebSerial_LCD_R1_v0_1_0.png,14365,557000
Scale / Mass,UMA eScale Web Serial Dashboard - R1c v0.1.2,UMA_eScale_WebSerial_Dashboard_R1c_v0_1_2.html,UMA_eScale_WebSerial_Dashboard_R1c_v0_1_2.png,35359,360462
Scale / Mass,UMA eScale Web Serial Dashboard - R1d v0.1.3,UMA_eScale_WebSerial_Dashboard_R1d_v0_1_3.html,UMA_eScale_WebSerial_Dashboard_R1d_v0_1_3.png,41149,363115
Scale / Mass,UMA eScale Web Serial Dashboard - R1e v0.1.4,UMA_eScale_WebSerial_Dashboard_R1e_v0_1_4.html,UMA_eScale_WebSerial_Dashboard_R1e_v0_1_4.png,44465,364864
Scale / Mass,UMA eScale Web Serial Dashboard - R1f v0.1.5,UMA_eScale_WebSerial_Dashboard_R1f_v0_1_5.html,UMA_eScale_WebSerial_Dashboard_R1f_v0_1_5.png,45030,368211
Pico / Frequency Meter,UMA RP2040 PIO Monte Carlo Duty-Cycle Workbench,uma_pio_webserial_dashboard.html,uma_pio_webserial_dashboard.png,31205,415836
Pico / Frequency Meter,UMA RP2040 PIO Duty-Cycle Workbench — Tabbed Web Serial Dashboard,uma_pio_webserial_dashboard_tabbed.html,uma_pio_webserial_dashboard_tabbed.png,42215,348706
Other,UMA Workbench — Universal Measurement Dashboard,uma_workbench_dashboard.html,uma_workbench_dashboard.png,27661,199017
Virtual DMM,Virtual DMM — ESP32-C3 · WebBLE · Rev 3,virtual_dmm_rev3_test.html,virtual_dmm_rev3_test.png,41292,407043
Virtual DMM,Virtual DMM — ESP32-C3 · WebBLE · Rev 3,virtual_dmm_rev3_test_c.html,virtual_dmm_rev3_test_c.png,43558,407483
Virtual DMM,Virtual DMM — ESP32-C3 · WebBLE · Rev 3,virtual_dmm_rev3_test_l.html,virtual_dmm_rev3_test_l.png,50846,428744
Virtual DMM,Virtual DMM · UMA Platform · ESP32-C3,virtual_dmm_v2.html,virtual_dmm_v2.png,54735,196175
Virtual DMM,Virtual DMM - WebBLE,virtual_dmm_webble.html,virtual_dmm_webble.png,12949,227024
Virtual DMM,Virtual DMM - WebBLE (Tabbed),virtual_dmm_webble_tabbed.html,virtual_dmm_webble_tabbed.png,17153,200473
Virtual DMM,Virtual DMM - WebBLE Tabbed Console - Release 0.2.0,virtual_dmm_webble_tabbed_release_0_2_0.html,virtual_dmm_webble_tabbed_release_0_2_0.png,25012,209044
Virtual Oscilloscope,Virtual Oscilloscope — RP2040 · WebSocket · Rev 1,virtual_oscilloscope2.html,virtual_oscilloscope2.png,52194,102275
Virtual Oscilloscope,Virtual Oscilloscope — RP2040 · WebSocket · Rev 1BB,virtual_oscilloscope2_dc_offset_fixed.html,virtual_oscilloscope2_dc_offset_fixed.png,55028,109514
Virtual Oscilloscope,Virtual Oscilloscope — RP2040 · WebSocket · Rev 1A,virtual_oscilloscope2_graticule_fixed.html,virtual_oscilloscope2_graticule_fixed.png,49316,105020
Virtual Oscilloscope,Virtual Oscilloscope — RP2040 · WebSocket · Rev 1B,virtual_oscilloscope2_graticule_slider.html,virtual_oscilloscope2_graticule_slider.png,50004,109037
Virtual Oscilloscope,Virtual Oscilloscope — RP2040 · WebSocket · Rev 1BB,virtual_oscilloscope2_graticule_slider_fixed2.html,virtual_oscilloscope2_graticule_slider_fixed2.png,50169,109891
Virtual Oscilloscope,Virtual Oscilloscope — RP2040 · WebSocket · Rev 1BB,virtual_oscilloscope2_graticule_slider_fixed3.html,virtual_oscilloscope2_graticule_slider_fixed3.png,50740,110137
SQM / EyeDrop,WALKWISE / SQM+ Dashboard 3,walkwise_sqm_dashboard3.html,walkwise_sqm_dashboard3.png,44623,465323
